Variant,RadialStiffness,LateralStiffness,TangentialStiffness,TorsionalStiffness,CorneringStiffness,SelfAligningTorque
IP 0 + BA 0 + CS 0 + EPI 0 + Mat 0,834.91,809.78,1284.77,143.01,105.51,73.25
IP 0 + BA 0 + CS 0 + EPI 0 + Mat 0.9,832.22,777.68,1283.49,134.66,98.55,68.22
IP 0 + BA 0 + CS 0 + EPI 0 + Mat 1.1,837.16,811.33,1285.15,151.03,112.02,78.40
IP 0 + BA 0 + CS 0 + EPI 0.9 + Mat 0,833.87,802.43,1284.76,142.73,105.23,73.31
IP 0 + BA 0 + CS 0 + EPI 0.9 + Mat 0.9,831.20,780.78,1283.43,134.35,98.28,68.24
IP 0 + BA 0 + CS 0 + EPI 0.9 + Mat 1.1,836.12,815.57,1285.15,150.75,111.70,78.46
IP 0 + BA 0 + CS 0 + EPI 1.1 + Mat 0,835.76,797.24,1284.77,143.24,105.75,73.21
IP 0 + BA 0 + CS 0 + EPI 1.1 + Mat 0.9,833.06,774.79,1283.55,134.92,98.77,68.20
IP 0 + BA 0 + CS 0 + EPI 1.1 + Mat 1.1,838.02,802.59,1285.16,151.26,112.29,78.33
IP 0 + BA 0 + CS 0.9 + EPI 0 + Mat 0,833.87,802.43,1284.76,142.73,105.23,73.31
IP 0 + BA 0 + CS 0.9 + EPI 0 + Mat 0.9,831.20,780.78,1283.43,134.35,98.28,68.24
IP 0 + BA 0 + CS 0.9 + EPI 0 + Mat 1.1,836.12,812.92,1285.15,150.75,111.70,78.46
IP 0 + BA 0 + CS 0.9 + EPI 0.9 + Mat 0,832.73,804.00,1284.76,142.41,104.91,73.36
IP 0 + BA 0 + CS 0.9 + EPI 0.9 + Mat 0.9,830.07,785.74,1283.36,134.01,97.98,68.26
IP 0 + BA 0 + CS 0.9 + EPI 0.9 + Mat 1.1,834.96,811.39,1285.15,150.43,104.71,78.52
IP 0 + BA 0 + CS 0.9 + EPI 1.1 + Mat 0,834.81,807.51,1284.77,142.98,105.49,73.26
IP 0 + BA 0 + CS 0.9 + EPI 1.1 + Mat 0.9,832.13,783.47,1283.49,134.63,98.53,68.22
IP 0 + BA 0 + CS 0.9 + EPI 1.1 + Mat 1.1,837.07,811.31,1285.15,151.00,111.99,78.40
IP 0 + BA 0 + CS 1.1 + EPI 0 + Mat 0,835.76,797.24,1284.77,143.24,105.75,73.21
IP 0 + BA 0 + CS 1.1 + EPI 0 + Mat 0.9,833.06,774.79,1283.55,134.92,98.77,68.20
IP 0 + BA 0 + CS 1.1 + EPI 0 + Mat 1.1,838.02,802.59,1285.16,151.26,112.29,78.33
IP 0 + BA 0 + CS 1.1 + EPI 0.9 + Mat 0,834.81,807.51,1284.77,142.98,105.49,73.26
IP 0 + BA 0 + CS 1.1 + EPI 0.9 + Mat 0.9,832.13,783.47,1283.49,134.63,98.53,68.22
IP 0 + BA 0 + CS 1.1 + EPI 0.9 + Mat 1.1,837.07,811.31,1285.15,151.00,111.99,78.40
IP 0 + BA 0 + CS 1.1 + EPI 1.1 + Mat 0,836.53,787.80,1284.77,143.45,105.97,73.16
IP 0 + BA 0 + CS 1.1 + EPI 1.1 + Mat 0.9,833.82,774.86,1283.57,135.15,98.97,68.18
IP 0 + BA 0 + CS 1.1 + EPI 1.1 + Mat 1.1,838.80,801.17,1285.16,151.47,112.55,78.27
IP 0 + BA 0.9 + CS 0 + EPI 0 + Mat 0,836.40,808.36,1284.74,142.58,105.33,70.96
IP 0 + BA 0.9 + CS 0 + EPI 0 + Mat 0.9,833.64,785.56,1282.70,134.26,98.36,65.82
IP 0 + BA 0.9 + CS 0 + EPI 0 + Mat 1.1,838.72,827.47,1285.15,150.61,111.47,75.64
IP 0 + BA 0.9 + CS 0 + EPI 0.9 + Mat 0,835.44,803.96,1284.73,142.26,104.99,70.93
IP 0 + BA 0.9 + CS 0 + EPI 0.9 + Mat 0.9,832.70,788.72,1282.69,133.98,98.09,65.86
IP 0 + BA 0.9 + CS 0 + EPI 0.9 + Mat 1.1,837.75,819.31,1285.15,150.35,111.14,75.80
IP 0 + BA 0.9 + CS 0 + EPI 1.1 + Mat 0,837.20,805.23,1284.74,142.71,105.52,70.78
IP 0 + BA 0.9 + CS 0 + EPI 1.1 + Mat 0.9,834.42,793.98,1282.71,134.51,98.57,65.78
IP 0 + BA 0.9 + CS 0 + EPI 1.1 + Mat 1.1,839.51,823.39,1285.15,150.82,111.73,75.50
IP 0 + BA 0.9 + CS 0.9 + EPI 0 + Mat 0,835.44,803.96,1284.73,142.26,104.99,70.93
IP 0 + BA 0.9 + CS 0.9 + EPI 0 + Mat 0.9,832.69,788.72,1282.69,133.98,98.09,65.86
IP 0 + BA 0.9 + CS 0.9 + EPI 0 + Mat 1.1,837.75,819.31,1285.15,150.35,111.14,75.80
IP 0 + BA 0.9 + CS 0.9 + EPI 0.9 + Mat 0,834.38,797.72,1284.73,141.98,104.67,71.02
IP 0 + BA 0.9 + CS 0.9 + EPI 0.9 + Mat 0.9,831.65,782.04,1282.67,133.69,97.80,65.90
IP 0 + BA 0.9 + CS 0.9 + EPI 0.9 + Mat 1.1,836.66,825.63,1285.15,150.07,110.78,75.98
IP 0 + BA 0.9 + CS 0.9 + EPI 1.1 + Mat 0,836.32,808.14,1284.73,142.48,105.25,70.85
